region,country,lat,lon,energy_platform,capacity_GW_2025,capacity_GW_2050,capacity_GW_2070,generation_TWh_2025,generation_TWh_2050,generation_TWh_2070,consumption_TWh_2025,consumption_TWh_2050,consumption_TWh_2070,efficiency_pct_2025,efficiency_pct_2050,efficiency_pct_2070,carbon_emission_MtCO2_2025,carbon_emission_MtCO2_2050,carbon_emission_MtCO2_2070,ai_forecast_confidence_pct,notes
Europe,Spain,-1.3115,-18.8909,Hydrogen Cells,52.25,115.5,300.7,197.02,253.48,724.01,188.69,291.25,586.6,49.86,59.02,71.27,213.65,110.27,20.16,93.12,Hydrogen Cells expansion projected with strong AI-backed growth model.
Europe,Italy,39.4298,121.3505,Tidal Energy,108.05,256.2,708.92,365.6,948.12,1512.19,372.0,1049.02,1672.09,66.11,72.68,92.04,94.81,62.3,25.61,92.09,Tidal Energy expansion projected with strong AI-backed growth model.
Middle East,UAE,-8.9284,-57.0012,Fusion Reactors,178.58,543.53,989.95,701.57,2016.87,2978.47,822.09,1720.16,2423.8,68.57,78.03,85.52,1.57,0.9,0.13,96.79,Fusion Reactors expansion projected with strong AI-backed growth model.
Africa,Kenya,68.041,-29.697,Space-based Solar,48.77,105.47,223.39,133.96,286.9,686.96,136.05,258.74,610.44,64.35,74.22,87.56,26.19,17.71,4.5,94.33,Space-based Solar expansion projected with strong AI-backed growth model.
Europe,UK,-21.7088,66.4158,Geothermal Plants,155.77,358.32,757.09,420.04,760.52,2172.56,356.71,870.44,2447.59,66.12,77.84,92.85,459.01,275.5,110.85,83.67,Geothermal Plants expansion projected with strong AI-backed growth model.
Africa,Nigeria,-15.2944,-59.0751,Hydrogen Cells,44.49,152.07,247.89,171.05,481.34,874.02,154.18,518.45,1008.18,41.76,50.44,55.71,135.38,84.96,17.72,86.74,Hydrogen Cells expansion projected with strong AI-backed growth model.
Oceania,Australia,-43.0851,9.8544,Fusion Reactors,100.72,386.33,1050.03,203.02,803.97,2478.62,164.4,949.49,2000.5,59.33,70.5,81.25,28.05,12.17,3.9,77.66,Fusion Reactors expansion projected with strong AI-backed growth model.
Europe,Germany,-32.665,13.5838,Wind Turbines,77.62,281.88,621.52,232.15,1010.25,2018.24,266.7,975.67,1710.69,50.01,64.56,83.72,143.54,88.54,27.49,84.73,Wind Turbines expansion projected with strong AI-backed growth model.
Middle East,Saudi Arabia,36.392,74.5026,Fusion Reactors,63.09,141.96,386.97,197.06,557.34,1163.69,207.21,495.43,1316.39,41.12,47.41,61.06,9.32,5.93,2.46,71.63,Fusion Reactors expansion projected with strong AI-backed growth model.
Europe,France,-30.0366,-134.7792,Solar Farms,25.43,67.19,140.62,81.5,243.96,347.52,68.81,228.6,304.94,65.09,72.44,92.16,117.05,58.13,22.18,73.79,Solar Farms expansion projected with strong AI-backed growth model.
Oceania,Australia,-3.9735,-64.368,Geothermal Plants,64.45,188.0,519.59,146.72,735.28,1106.28,170.86,590.01,981.6,64.13,69.15,86.1,371.26,248.56,47.12,74.23,Geothermal Plants expansion projected with strong AI-backed growth model.
Africa,South Africa,-1.7059,-20.7936,Geothermal Plants,60.5,132.97,208.79,138.46,291.68,685.12,160.24,244.07,754.5,53.11,63.11,70.68,498.04,214.05,90.68,90.88,Geothermal Plants expansion projected with strong AI-backed growth model.
Europe,Germany,-15.7478,123.5541,Geothermal Plants,71.75,226.29,546.67,282.1,868.53,1571.94,243.17,1036.87,1500.64,54.2,66.41,80.82,476.18,236.55,71.96,84.34,Geothermal Plants expansion projected with strong AI-backed growth model.
Europe,UK,35.2428,-144.3224,Tidal Energy,89.73,243.36,601.27,254.85,944.1,2023.16,304.17,813.98,2030.19,62.95,76.69,88.87,360.02,182.91,19.05,76.11,Tidal Energy expansion projected with strong AI-backed growth model.
South America,Argentina,6.1352,87.9237,Tidal Energy,128.93,472.5,1182.23,313.95,1022.96,4487.45,341.57,981.76,4706.93,63.36,70.43,80.91,238.39,142.92,69.88,71.29,Tidal Energy expansion projected with strong AI-backed growth model.
Middle East,Saudi Arabia,37.2863,111.2577,Geothermal Plants,99.77,284.44,727.64,204.52,1092.19,1854.79,203.77,995.65,1695.46,52.95,66.75,78.3,71.92,33.78,7.17,89.71,Geothermal Plants expansion projected with strong AI-backed growth model.
Africa,Kenya,-25.3165,118.1595,Solar Farms,73.12,150.92,420.08,248.7,394.63,872.17,222.69,403.04,780.93,62.29,76.64,84.19,295.89,108.58,18.36,96.09,Solar Farms expansion projected with strong AI-backed growth model.
Middle East,UAE,-36.8282,-141.7279,Fusion Reactors,190.0,731.47,1798.87,667.46,2422.78,6290.73,569.77,2585.83,5532.4,52.78,63.23,80.96,21.2,7.17,2.55,92.67,Fusion Reactors expansion projected with strong AI-backed growth model.
Middle East,Saudi Arabia,32.3846,87.392,Wind Turbines,73.26,155.7,262.19,213.64,613.41,705.89,234.5,672.72,841.37,62.73,71.1,82.75,279.41,190.66,21.11,73.51,Wind Turbines expansion projected with strong AI-backed growth model.
Africa,South Africa,51.5088,-46.9437,Tidal Energy,136.97,284.87,810.69,504.55,924.29,3135.09,475.8,1082.16,2548.3,64.06,72.03,77.22,70.54,31.39,15.61,87.63,Tidal Energy expansion projected with strong AI-backed growth model.
Oceania,New Zealand,65.154,89.3458,Geothermal Plants,39.75,128.46,251.01,104.27,464.73,889.26,111.47,453.7,1063.92,47.76,53.0,67.16,319.06,177.99,48.77,76.05,Geothermal Plants expansion projected with strong AI-backed growth model.
South America,Argentina,40.3494,-91.4545,Wind Turbines,56.51,204.69,515.94,191.23,442.27,1274.14,168.96,367.98,1173.91,55.15,68.39,82.19,140.96,55.14,13.23,90.48,Wind Turbines expansion projected with strong AI-backed growth model.
Asia,South Korea,58.4421,-31.8584,Hydrogen Cells,55.11,176.38,336.51,164.7,572.11,1186.55,138.22,481.49,1300.86,66.4,77.44,95.75,333.36,221.3,73.41,81.32,Hydrogen Cells expansion projected with strong AI-backed growth model.
Europe,UK,33.1049,-49.6787,Hydrogen Cells,157.08,553.48,1385.33,321.51,1580.13,5323.47,277.49,1601.07,5992.98,49.46,58.47,75.99,166.48,83.53,16.1,98.9,Hydrogen Cells expansion projected with strong AI-backed growth model.
Oceania,New Zealand,-2.6547,-56.8498,Space-based Solar,99.36,297.45,890.54,253.6,832.1,1908.14,255.01,882.76,1859.99,49.4,62.96,71.7,11.57,7.19,1.41,96.43,Space-based Solar expansion projected with strong AI-backed growth model.
Middle East,Israel,27.7934,-54.8659,Hydrogen Cells,53.3,130.02,232.6,132.0,480.76,698.52,122.47,529.87,679.18,44.85,59.07,77.79,127.24,49.02,14.38,97.09,Hydrogen Cells expansion projected with strong AI-backed growth model.
Europe,France,29.9481,-30.0136,Space-based Solar,111.77,446.09,1241.98,329.84,1222.75,3302.25,394.12,1140.38,3188.38,44.73,57.07,63.7,4.9,1.98,0.79,95.67,Space-based Solar expansion projected with strong AI-backed growth model.
Europe,UK,-36.2501,61.4215,Wind Turbines,172.48,652.65,1351.97,456.12,2145.73,5135.77,378.94,2464.14,4829.32,59.75,66.54,81.89,222.86,137.29,14.39,78.79,Wind Turbines expansion projected with strong AI-backed growth model.
Africa,Kenya,-2.6023,-9.815,Space-based Solar,197.03,477.83,1031.85,720.03,1870.43,2456.27,624.85,1924.74,2546.87,67.35,72.75,88.83,7.35,3.5,1.09,82.93,Space-based Solar expansion projected with strong AI-backed growth model.
North America,Canada,47.8474,86.1053,Tidal Energy,173.53,641.79,1538.53,439.84,2264.62,5837.04,428.27,2342.98,6255.71,48.52,57.2,73.81,196.91,116.73,38.76,89.89,Tidal Energy expansion projected with strong AI-backed growth model.
Middle East,Israel,-25.4808,-30.901,Hydrogen Cells,118.24,452.49,915.92,367.23,1321.51,2758.78,406.83,1548.59,2441.3,57.4,68.17,74.41,216.18,65.52,11.9,79.97,Hydrogen Cells expansion projected with strong AI-backed growth model.
South America,Argentina,26.1027,-113.8062,Solar Farms,51.21,193.94,352.08,178.71,389.43,1175.9,143.34,339.56,990.65,46.87,53.07,66.81,87.91,52.28,24.35,86.67,Solar Farms expansion projected with strong AI-backed growth model.
South America,Brazil,-47.7864,-3.5966,Geothermal Plants,138.68,441.65,679.69,425.62,1054.63,2629.91,424.18,1038.71,2166.0,67.22,73.55,87.93,167.65,63.07,12.46,93.73,Geothermal Plants expansion projected with strong AI-backed growth model.
South America,Chile,-46.7062,-34.5145,Tidal Energy,158.15,465.95,1090.85,591.09,1473.12,2666.74,553.17,1573.93,2851.47,67.92,74.46,83.78,139.26,47.41,5.2,79.29,Tidal Energy expansion projected with strong AI-backed growth model.
Africa,Kenya,-49.5659,56.5619,Solar Farms,27.09,63.29,154.59,65.46,243.89,321.9,54.54,263.71,348.97,56.69,68.37,86.77,293.41,109.23,44.74,86.33,Solar Farms expansion projected with strong AI-backed growth model.
Asia,India,-32.7773,-51.5599,Fusion Reactors,96.29,305.73,760.22,218.81,1015.05,1587.27,193.16,1206.88,1851.32,40.98,53.42,73.22,9.99,3.48,1.7,73.46,Fusion Reactors expansion projected with strong AI-backed growth model.
Middle East,Qatar,48.0829,-117.8294,Fusion Reactors,64.41,164.26,272.73,154.45,354.78,1013.92,136.67,408.3,956.23,53.64,67.08,74.62,28.07,9.51,3.55,97.48,Fusion Reactors expansion projected with strong AI-backed growth model.
North America,Mexico,45.9725,-69.0182,Wind Turbines,63.26,214.74,609.48,232.61,731.11,2417.61,241.09,745.81,2677.93,53.18,62.79,74.33,231.33,93.87,25.18,82.17,Wind Turbines expansion projected with strong AI-backed growth model.
Middle East,Israel,16.6747,128.2561,Hydrogen Cells,87.38,272.79,509.54,215.85,554.08,1598.77,255.01,561.86,1291.62,66.1,74.22,82.32,70.61,37.28,8.24,83.48,Hydrogen Cells expansion projected with strong AI-backed growth model.
North America,Canada,48.9482,-71.8958,Tidal Energy,80.92,190.6,443.02,292.76,482.85,1726.94,347.88,568.59,1782.97,49.71,55.82,69.95,342.54,162.48,75.01,74.57,Tidal Energy expansion projected with strong AI-backed growth model.
Europe,UK,-51.3133,85.2363,Tidal Energy,199.91,596.59,979.27,540.76,2277.24,3654.97,444.71,1908.0,4112.1,52.43,62.39,67.44,340.89,157.53,23.01,87.38,Tidal Energy expansion projected with strong AI-backed growth model.
Oceania,Australia,-12.9108,-44.0894,Wind Turbines,110.8,398.67,1005.44,225.72,862.44,3255.53,205.12,846.13,2692.15,51.93,62.58,75.05,338.18,149.89,64.35,90.79,Wind Turbines expansion projected with strong AI-backed growth model.
South America,Brazil,60.4441,-5.0124,Space-based Solar,193.79,398.28,857.66,571.42,809.92,3103.93,597.97,802.37,3230.31,57.67,64.21,82.81,22.78,11.16,1.32,71.15,Space-based Solar expansion projected with strong AI-backed growth model.
Africa,South Africa,-45.9451,-35.6613,Space-based Solar,175.7,362.78,859.15,518.43,1270.16,1787.41,441.81,1082.16,1810.98,54.9,64.1,75.34,45.3,18.39,3.96,73.92,Space-based Solar expansion projected with strong AI-backed growth model.
Asia,India,-48.7033,8.4372,Solar Farms,195.38,439.09,727.37,655.6,1298.47,1706.87,636.08,1281.48,1869.73,69.31,75.7,90.3,437.42,299.99,114.15,90.58,Solar Farms expansion projected with strong AI-backed growth model.
South America,Argentina,-47.5256,-104.7774,Geothermal Plants,56.56,217.25,405.13,119.54,668.12,1103.29,131.33,760.26,1314.68,61.81,72.44,84.96,268.66,146.8,23.35,98.97,Geothermal Plants expansion projected with strong AI-backed growth model.
Asia,India,2.2622,-67.6022,Solar Farms,193.41,535.11,890.17,657.45,1451.16,2032.95,587.99,1691.86,1662.75,55.46,64.42,71.33,198.59,118.52,46.96,82.4,Solar Farms expansion projected with strong AI-backed growth model.
North America,Mexico,67.4748,69.7868,Fusion Reactors,50.21,182.81,341.07,172.83,535.39,1088.62,161.56,626.0,1283.19,66.33,71.77,78.82,9.57,6.11,2.89,72.02,Fusion Reactors expansion projected with strong AI-backed growth model.
Middle East,Israel,47.0929,-140.7108,Space-based Solar,104.85,254.12,387.14,322.06,984.87,1491.59,288.37,993.47,1514.68,47.39,54.06,61.37,10.32,4.01,0.58,93.85,Space-based Solar expansion projected with strong AI-backed growth model.
North America,Mexico,-52.0232,2.2463,Fusion Reactors,12.79,49.08,84.74,27.48,109.66,198.98,22.63,88.98,183.34,62.41,74.88,94.33,17.07,8.33,4.13,70.12,Fusion Reactors expansion projected with strong AI-backed growth model.
Middle East,Israel,53.828,-49.6773,Fusion Reactors,123.82,385.66,1089.01,381.16,888.79,4287.24,401.94,1065.54,4030.42,41.22,47.48,55.54,22.46,12.14,4.29,71.6,Fusion Reactors expansion projected with strong AI-backed growth model.
North America,USA,66.7509,-128.0715,Wind Turbines,107.25,218.48,338.8,257.61,726.57,1120.05,262.4,679.63,1176.01,42.73,47.91,60.49,312.6,212.92,64.15,79.6,Wind Turbines expansion projected with strong AI-backed growth model.
Africa,Kenya,62.46,-42.0081,Wind Turbines,35.88,113.14,326.78,141.84,393.36,781.57,161.1,385.12,776.31,45.36,56.2,73.37,483.65,209.24,91.88,95.75,Wind Turbines expansion projected with strong AI-backed growth model.
North America,Canada,-21.5562,31.4103,Fusion Reactors,188.7,630.72,1226.37,681.52,1756.2,3694.26,726.77,2088.28,4077.55,49.48,58.9,74.32,8.0,3.54,0.89,91.13,Fusion Reactors expansion projected with strong AI-backed growth model.
North America,Mexico,-33.885,1.7762,Space-based Solar,70.55,177.83,386.42,230.25,495.46,1206.69,274.39,413.94,1010.89,48.88,57.75,69.08,5.51,2.24,0.76,95.54,Space-based Solar expansion projected with strong AI-backed growth model.
Middle East,Qatar,9.2789,-21.0336,Hydrogen Cells,24.51,93.38,202.64,93.95,252.3,442.98,76.61,218.81,481.91,65.26,75.4,89.83,75.1,45.16,8.37,81.85,Hydrogen Cells expansion projected with strong AI-backed growth model.
Europe,Spain,6.6611,142.4618,Tidal Energy,97.55,337.19,537.16,227.66,844.06,1324.85,184.63,859.12,1151.67,66.31,75.86,89.73,164.03,53.09,9.17,77.64,Tidal Energy expansion projected with strong AI-backed growth model.
Oceania,Australia,42.5604,-116.7888,Wind Turbines,59.57,215.3,437.27,194.14,536.7,1454.11,194.88,479.41,1701.84,63.23,74.88,82.01,357.81,153.99,41.01,90.67,Wind Turbines expansion projected with strong AI-backed growth model.
Oceania,New Zealand,-21.5439,-94.7167,Fusion Reactors,169.12,340.73,718.76,374.95,1133.05,2241.82,333.22,1184.32,1980.46,48.27,53.43,62.87,10.45,6.84,2.59,94.96,Fusion Reactors expansion projected with strong AI-backed growth model.
Europe,France,11.2595,-6.2439,Space-based Solar,14.84,31.2,67.66,44.24,117.49,255.32,35.85,111.93,305.71,64.03,78.21,87.59,47.54,24.2,3.98,72.55,Space-based Solar expansion projected with strong AI-backed growth model.
Africa,Kenya,60.3291,-8.5688,Geothermal Plants,18.74,46.67,88.89,67.24,170.12,252.16,54.16,174.33,300.55,62.5,75.22,90.81,57.03,20.17,9.96,95.13,Geothermal Plants expansion projected with strong AI-backed growth model.
South America,Argentina,67.7934,29.4421,Tidal Energy,97.53,224.16,588.64,316.09,522.49,2215.66,264.75,497.11,1889.46,65.4,73.85,80.09,150.95,64.12,30.66,86.34,Tidal Energy expansion projected with strong AI-backed growth model.
South America,Brazil,18.3314,29.475,Wind Turbines,146.54,452.5,1276.0,380.82,1473.75,2827.74,332.6,1467.49,2692.56,43.72,55.3,65.66,342.22,135.87,19.18,79.71,Wind Turbines expansion projected with strong AI-backed growth model.
Middle East,Qatar,19.4937,134.4291,Fusion Reactors,99.92,386.66,940.66,201.72,908.15,1946.81,195.05,937.13,2038.59,55.39,65.78,77.5,32.86,18.37,3.75,97.56,Fusion Reactors expansion projected with strong AI-backed growth model.
